ID,Is_Lead
AMQPZYBB,0.0337
HOYYET7C,0.7102
HN6EEMBJ,0.0205
IZHMNGP5,0.0355
O3KNGQGD,0.6036
NRI573UW,0.0476
HA7KGGBE,0.0201
FVETOWHK,0.0348
BYCXDFFG,0.0201
8RJUHQTA,0.0384
VKMAKZW3,0.0338
VVAPUTLR,0.1094
CVFRSHEV,0.1151
NZGJZBZ5,0.1268
PCLIEW8K,0.0169
BHCW8X3Q,0.6714
BTYWTE9V,0.0217
ECVNHIKG,0.0565
5CH4EWVM,0.0209
HHVHBYRO,0.2472
DN4BEZDS,0.0322
WMDABKBF,0.0146
AEUFOCQH,0.2278
XHUPBJWM,0.2204
FMBI8BBA,0.1178
DBIEE7BH,0.1197
HTLJZPUV,0.9529
A9XJ34UO,0.0208
4YGNWDXK,0.0206
H4FVMQ2J,0.7488
ITG9VRVC,0.9533
R8HPFSHQ,0.0327
MEKWO6JO,0.122
YJWPQAWR,0.1279
RW8WIMQP,0.7995
7FIT76I9,0.2002
7UNUOMMQ,0.0219
HNQOXBBI,0.032
G3UJ5SMD,0.0249
PVHFCDTA,0.885
FGSHDTYP,0.7212
WADXBJUD,0.0211
GXYDBKDB,0.0275
O8N7KTPT,0.2115
PG7DUIAT,0.0209
J2TDWSAB,0.0236
73PDRUPN,0.0147
I6P86NLX,0.0436
BMPV6L4V,0.1241
7XSVFEDF,0.7326
FPGZVAOH,0.1198
NRP8PVRA,0.1765
QTRAAYEW,0.0334
CXD9NHBV,0.0208
CCF3JG3A,0.6766
4Q9YTFXS,0.0336
WJBL89TA,0.0152
5KIW53Y6,0.1153
XPWBGANJ,0.7654
KTDONGQB,0.0327
ADJOU2MD,0.1213
RPQA8EYH,0.0207
KDWE4HJB,0.0318
CPQX9JKE,0.1051
G68PCPTM,0.7086
EB9SAKEF,0.035
9R6PRJTR,0.0271
4LEJFDJX,0.1197
XG66G3QA,0.9124
KBIVWSXB,0.0244
VVRAEQXC,0.9375
KRKNFGC2,0.0465
TQYWA9UE,0.0142
QPAIHIN7,0.0354
IFZPJJEO,0.9528
MFEOYDHR,0.036
JE2MT7LU,0.654
UCTPUKSD,0.0343
MZ23YUNW,0.1362
KGYRPKEB,0.0237
JB6ESGGA,0.7074
WBYYFJOP,0.0255
FU4X4ZC4,0.0157
UHWDMB6R,0.228
ECFHNTJG,0.0208
ECCYSSCB,0.106
IYJJEXHX,0.0339
F8SVKJJZ,0.03
F3WFL5TQ,0.0215
D9R6BFCM,0.1598
YZ9EWYUG,0.1253
TQAQNGDI,0.0423
262ADNSB,0.1174
CV3DFGBE,0.714
2REQAF8P,0.0203
4UXSDZJG,0.6844
62BBDRVF,0.1387
BY6WGNZO,0.0392
48RTR7DB,0.2369
5THGQPCS,0.0251
7RKXOS5J,0.0388
EKA7GKHA,0.0376
VUTXLWIJ,0.1581
DVYF8QHS,0.1297
JWCH3LTI,0.0375
TMBFEMKL,0.0206
FCDGKTK5,0.0238
4N2KKSEF,0.0204
QL5NBGMX,0.1033
ARLQPXTN,0.1386
KU3SRREG,0.0257
9BLCESLS,0.0234
DVGWE2P9,0.0315
AXGQAAUV,0.3665
KBZQLZFF,0.6684
FR9RZVME,0.0218
FRJBAPUE,0.0299
9F83MDPP,0.6654
3GFCKERC,0.1199
BFRCT8WA,0.0204
HYPCBLDK,0.0355
EAECVTCD,0.0325
IOPYIN7B,0.2029
BUUDBQB9,0.0343
BZF8JS6A,0.133
CIQG4SDY,0.6937
G3XB3NVR,0.0329
IC6G9WX6,0.0382
KL2ROJH5,0.0223
KY8UKBZH,0.2217
CETZ3NQN,0.0218
DJJGTR8Z,0.034
CQ6HNO2S,0.2299
7NYBENJC,0.7511
YWZMAXGM,0.0212
MNBX4RRF,0.0338
UUK6ZVFS,0.0147
MBXGRU5M,0.0257
VXWURGPB,0.0145
NH2CWPMW,0.0214
LUGXXEJD,0.1017
GKEABHWJ,0.2549
EC3XBXWT,0.6231
CDVA5DD5,0.0491
AVYM4W2K,0.0263
LU8OPZBT,0.014
JRHWFUX2,0.0325
DA5UCAPB,0.2425
9YNCH6PX,0.0607
HFHXRG3Z,0.1706
NVRRDV4R,0.0184
7EEKEFTI,0.0282
RZFZ4DBW,0.0218
34JHXX9K,0.7999
NK5SLAXQ,0.6452
7NPOZLQE,0.1317
6NCVR6NE,0.0353
7LDURVUW,0.0391
6JBFCKRX,0.034
OQVIUSTX,0.021
FDJ3J4WM,0.0206
TA83JRQB,0.219
HSPSH3FM,0.1584
69NMGHCE,0.2153
ENQYSK7D,0.0157
Q6FEXSCQ,0.041
9FN3QMZZ,0.0163
3UJGMPKS,0.0304
E5VWUW5X,0.0384
D78Y5ASC,0.0195
YEYWWE32,0.0192
7BTQDPKA,0.0229
TD7PNZRT,0.0204
EHCNNYRK,0.1226
LDMAQ3HZ,0.6237
4MVFVYF2,0.1148
NPHA3TMQ,0.0269
BMPDWMVD,0.0204
G2O3FS3U,0.0221
NSUW6STH,0.032
6UM5S4XS,0.106
BLRPF3KV,0.1659
APTBCGMG,0.0359
RMPBWEEJ,0.0376
6DM4S4OM,0.0151
JYVVMBXW,0.1246
UKZJEKUA,0.0335
VZT4DW5X,0.0364
2O9BM3QH,0.0329
7A8NGAZL,0.0213
4DSM9W8M,0.0143
78RSC5C4,0.0844
K4QS95SU,0.0204
J7KCI7G2,0.0272
SSTVUFQM,0.0332
4CK5C2PV,0.0191
5SHF3VBZ,0.1269
6YRXM9RJ,0.6604
JXPSADZ7,0.0367
XLLD4HFE,0.0377
HRXNKSRK,0.2849
SNXWWASJ,0.0201
ZLH2P59S,0.0411
UMJ8ZK9J,0.0207
HYBPNH2I,0.0157
EXGENGXC,0.0354
LPO8BN4N,0.0328
FQDMRDUO,0.1046
HSACWTQS,0.6835
UVHA3RY4,0.028
GDOLYENE,0.6547
TXG99ASP,0.0396
TYSHXH9B,0.0332
MFJ3TNS2,0.0321
ISW7RBNZ,0.0241
5DB8GUTL,0.0334
CMPUTNZZ,0.0155
UAF96HRK,0.0309
Y3GXYBTQ,0.0231
CXWVNNJY,0.0287
IDJ4MP9P,0.027
VMUKCZLK,0.0207
KW6UGOUC,0.0326
NHEGZ7KW,0.0379
R3MWMXQK,0.1112
5SNKK3AK,0.0361
LBCMVCVR,0.1573
XWDPWBVW,0.0211
38ZECMJA,0.0212
UO5YJ7WJ,0.4971
WKWFCA89,0.0147
JBEEOIHR,0.68
SVWQXZG4,0.0148
8UFV2GVN,0.0318
HEAHQ996,0.0426
FDDYFXNF,0.0833
UAX4LROX,0.0242
FU7VTGZZ,0.0308
BDKN6BSG,0.0226
KZDCP5QZ,0.0389
TFJDQVM2,0.0326
FEAQDYSQ,0.1267
DVRKJQB3,0.034
K6LV8HKM,0.0214
SFZUA4WB,0.0215
3QEAQFXN,0.0231
CV825KDF,0.02
PYVXZK23,0.0219
2GMOYNNU,0.2699
HFJZSDMB,0.0667
N4ETJFMU,0.1434
MCRFPVZK,0.1235
WYDDF8YW,0.0177
353JXYJC,0.0255
XVZHHQ4P,0.1439
UH4SFK5U,0.0215
GS5DYHEC,0.0178
6GKRWZXE,0.0241
QWLGMVX3,0.0222
ESTZKM9V,0.021
KC6YZAON,0.0281
WTOUOARJ,0.0206
EJBC9W5L,0.0207
EKOU5KQ2,0.0405
YUXOVSWX,0.7297
CDBAQWOW,0.1356
8FPPSCR3,0.1415
P6YBDWHU,0.0399
BXE3VADH,0.0221
DKDEWBIH,0.0317
GCEJZQE7,0.0265
P4S65UEG,0.9189
BVXAAGUZ,0.2066
YMQRWJCX,0.0244
VNB5NWDE,0.0364
HD4FX6J9,0.0398
A3UVUSDA,0.0538
ZDTCFZYT,0.0313
ARWBPFXS,0.0221
Q6BYUGRB,0.194
V5234OQR,0.2152
8FTXHGAE,0.023
INSKAR5W,0.7404
BIBJSR6M,0.0258
WGHACWMB,0.0333
U8Z83Y4I,0.0209
MZWNESFL,0.1255
6UGJZYDR,0.1253
8CPQ6XT2,0.023
VZTXVTP3,0.0205
6UJAX4TD,0.0217
INZQZCWR,0.042
KNKNRRCS,0.0213
6E4F7NHH,0.6856
YOZR4REZ,0.1421
GBEH5OKT,0.0145
TNCN4625,0.0207
OFMNY2AI,0.102
O3YQMWZN,0.1227
AX8H8QKH,0.0353
9TXT7KW6,0.0322
MU3I6EPO,0.0322
FSKDMBFI,0.032
DT3FIM4S,0.0331
85HXRZ4J,0.0139
YQO7LP7F,0.246
YWQWXXXO,0.0146
A7UPTGAJ,0.0511
RHWME6ZB,0.1173
ZUZCL4HX,0.0375
GNXDCERV,0.1259
BTWTINNS,0.0391
AJF5KIBK,0.1296
VEBQCV8N,0.1293
CSVN6BCU,0.0337
GJCEHWEK,0.7404
OCIPVAEX,0.0229
NHPNHTZC,0.737
SSXDKTWX,0.1273
ZGAPVI9H,0.0196
WFTQQS86,0.6913
MWTY4ZXT,0.1184
EDOYZXZC,0.0336
CSXE7PUB,0.0192
FHBXFAWB,0.0352
KYAN4APB,0.5228
SFLUFFIZ,0.2299
8ZJTDZCW,0.0335
MUULZBKU,0.0196
NB4MJQBM,0.0826
EXPYX6DJ,0.0236
BHWGQ8QP,0.019
8NCXAAWQ,0.0198
XGXKZLAW,0.1704
6EFQMTV8,0.0147
9VFSFOM2,0.0208
XAUVCDK7,0.0473
DKD9IKKJ,0.0215
H4FKSWMD,0.127
U5VAQVU5,0.1051
WKZMKBUD,0.0209
ZNEN5NOM,0.0424
WBBHIDFG,0.0216
GRQZA8GN,0.7288
4HW4NTPF,0.2633
NFMZ6Z2V,0.0197
KDUHAUDL,0.02
DJDLLRIW,0.0327
YMJGXX2S,0.6486
HRHIMTCA,0.9442
RPMVYASZ,0.6666
6KE3LNT2,0.742
NBJXJ67Q,0.0261
BOB3VSEH,0.032
DSY4AEDJ,0.0489
ARVCCQTC,0.0696
78NMUDA7,0.0219
VBTEBWHW,0.2094
VQESTGFR,0.6133
4LVUDD2F,0.0337
CNKAW4XX,0.0215
Y64ZCTY5,0.025
APRV7DSK,0.73
J7S8A7VR,0.0363
CS5RQP6T,0.2194
OVHBWQSA,0.0349
E3EXHQFK,0.0471
KN7KAZEG,0.0281
JVSMPMX4,0.7182
WWF5GD6J,0.0382
BRG8CDJM,0.0396
4RECQTAI,0.0206
3MWQQVRC,0.0228
JSSWC4EG,0.0322
AKF3GYOW,0.0322
YK2VDA65,0.0247
ZCQT4N85,0.0305
KXMASRJ8,0.0213
SUX7SZZ9,0.0465
MWHGIOBW,0.1478
NOMVQA5A,0.1412
CPNMKAZA,0.0328
DPB9UGFU,0.6552
SJVG93MR,0.1214
CK9TUR45,0.0453
6AZYRERH,0.0326
XNHS5OQ3,0.6862
PJ2DSXB6,0.1308
5EZJEPBM,0.0384
3ODGV22K,0.5952
EGRXNFBO,0.0363
AVMIAPRS,0.0218
K4TQSAZJ,0.0202
VZKPNVNC,0.0353
3XXEMEJG,0.0404
R97GY5AR,0.0151
APEXDR4L,0.0209
DPFZDVYU,0.1026
EI74AABN,0.0351
DKD4M6GD,0.0451
HSTYK3D9,0.0426
Q9KS6SDS,0.7743
FSCBTTSR,0.0222
9NJPOIMX,0.1247
47ZVU5J9,0.0184
CFEQ6YBG,0.083
3IITZURG,0.0143
UFUHPGS2,0.1483
99PGDNPA,0.1322
KYTMTPKZ,0.2124
DZ2RNPPC,0.0316
BUT2U4PQ,0.1434
HAEZXZRT,0.0222
G6UXKFFR,0.0363
7SHNE5CG,0.0187
ZBUGMBVU,0.0183
GHREHRDH,0.0424
YXUKVWYJ,0.0394
H8TZD282,0.2538
RTQFFRA2,0.0157
5GGXG9AM,0.6191
FXMTGVQY,0.0201
G5EM7FPT,0.0213
SCVHXGX9,0.1274
HYQ4HAPR,0.1238
JN2QTB4U,0.1094
ORPQJWVS,0.023
FEC8P4WU,0.0338
AH7RJR5I,0.0999
RC5I8BCF,0.0199
AD4RDCES,0.0249
HEGKTMBD,0.0375
UKPXGI2W,0.0373
NUEWPHWZ,0.0394
F6DA9HVS,0.1338
JYOWQ26W,0.1205
D4FYHHQ4,0.7503
U2N6IGIE,0.118
I7ATMJO6,0.0213
VJSYKFZE,0.083
YYJVB3J5,0.247
XBAFQFIU,0.0207
BU5QUQZ2,0.0463
KCZSGDIZ,0.1693
HTW7UUYA,0.2666
TQGRKUUY,0.0211
AXPNS6U7,0.0209
43TYPAKY,0.1544
R2VQP5PG,0.6289
N8NWZB77,0.1414
AHU5WXDQ,0.0222
AMEZAZUW,0.1067
IJLKUHRR,0.0243
ECAB2WMZ,0.6825
6STIETMF,0.0244
E4O5YGJV,0.0213
E8JPDXOE,0.7223
O982XQVT,0.0229
P74L92BM,0.0326
DVYYEX5W,0.0214
SFSTEUNW,0.0462
SPPK2V9B,0.2072
NRV9PSUW,0.0426
5NRHNKDH,0.0153
RU44TQMK,0.0405
FDNXGPM8,0.1936
EDAGHRCV,0.039
AFPNTDF4,0.0331
DUSYUX5H,0.0199
3REH3VXR,0.0442
B9ECPAH8,0.6326
MTOKQMU7,0.3196
HNWUJCW8,0.0221
DYO4VNEM,0.0201
NVMYVYHY,0.022
PESKNPSP,0.0397
MTDMEXZ4,0.6491
GGQEGZF3,0.024
DFDCWFKU,0.0143
3WCKFXC4,0.042
KDQPXQAC,0.0207
XSB7J3WH,0.033
GSSHEJ9A,0.1375
HGA5KDDX,0.0387
LG6KOYPN,0.5431
IETCDO46,0.0262
QCY6BFDS,0.1333
UNYHKDGX,0.0253
F6WBIGW3,0.0298
OHN7TSQY,0.0261
LPCE8OEY,0.1203
UXJOU48G,0.0355
U9GTODSE,0.335
YBOFTSUC,0.0205
2AYE3SQY,0.0286
KLZRQQOZ,0.1389
JANDHWBQ,0.0246
TZ4LY6YJ,0.0437
GBKP86VJ,0.0471
UJIBRAMF,0.0357
XWGNB3VZ,0.0523
AAXYUGVL,0.0211
NXOR7GRF,0.0413
YWDEARKK,0.0345
EZLBPHUP,0.0208
YSKBZ2VZ,0.1125
WFCCQIID,0.1339
JLPD6QXI,0.0186
SQY3HEEW,0.0209
MXWSNSRX,0.027
6DSCTAIE,0.0429
WZPYTDZX,0.0334
2Q6NBGB6,0.2402
74TGCM6Z,0.031
QT5VB3JP,0.1289
FGWKYU2Z,0.1517
MBENQHHB,0.775
6GZRUXDW,0.0236
NS5D3SKN,0.234
CMTDX58Z,0.4733
MQNG2H3G,0.038
DYVGQO6O,0.1309
8GKRVYIO,0.0276
G4OZP6GA,0.1341
YTOGEF7J,0.0382
USMEI638,0.014
JNK2A9VR,0.0383
JFG8HD2Z,0.102
9THXF9WK,0.0147
LDYUZATQ,0.7634
YVEIATZP,0.0234
A8PZRSMC,0.0311
BDHHAFIB,0.0378
CPESGJBX,0.0203
Q6JVVQW6,0.1439
CIYQBTTM,0.0333
8FYB8SKJ,0.6805
W4MFRQZ2,0.0453
QSU75LH9,0.0152
GMFZJMEN,0.0222
GJQ7XXEB,0.0478
NYJMFNAU,0.602
4MGVZRFK,0.021
FJMJ436S,0.0208
DTEM7AWF,0.2068
5V5XBK3A,0.2054
Z7QUGHFF,0.0142
BE7897WD,0.0328
ST2NNWWX,0.0336
DDQW3EXD,0.0213
O99UXDRR,0.6498
B29NZMYW,0.054
LS42FHJB,0.022
FTHAQBYH,0.2099
N6PV7RDI,0.0545
AYJZTHMW,0.7822
VJOR6Y4Z,0.0327
JAIRTJPE,0.129
DZXACYL7,0.1998
CY6FXADD,0.2124
46OSNMGP,0.0208
BMRRESRE,0.6992
VHGEHSBU,0.029
8ZF9SJ4H,0.601
HTZMFKFD,0.0196
DWFRGRGY,0.2004
BY2RCTVF,0.7318
VMQAUUVT,0.1299
JN6QVUY2,0.0217
WOQY4M3E,0.0225
AFQDRIXR,0.0355
IDUIG3TP,0.7005
GTGWESV6,0.025
VD7Y2PEZ,0.2756
3VXKDVVN,0.0328
U8AAH3JR,0.0305
G6ORLAPO,0.6981
4WDWJ6UI,0.0411
TYQDNO4G,0.0339
KSW4JAJT,0.0341
SVXLPCRW,0.0196
RUYNJYGR,0.0331
4I3BVDEQ,0.034
5HBARJLM,0.0151
HIXVTLXI,0.191
GFXQYNEZ,0.0871
G7ONLVPQ,0.0166
NHJEQVJJ,0.0215
JNTNMLAE,0.0344
FTJREVKU,0.0209
BQYUDFEC,0.7495
SYZNXZ2T,0.1345
FFS86FT9,0.5994
JHK3KP7L,0.1117
HPHSFHVB,0.0213
ITSPFDXX,0.0212
B3K7P2TK,0.719
ISBXWJTZ,0.0205
3RTEZDVV,0.0213
5Q9STIZ3,0.1284
BZZWEKFV,0.0212
9NCWPHMF,0.1202
ECKTHT3N,0.1226
R9IRFKB5,0.0142
UNQRMKHA,0.6841
2XQOBIX7,0.7229
TXZ6RRP2,0.0214
FGZU2EZU,0.0201
GDMQO3GX,0.0397
VYHJHQJW,0.0214
JVZXDD3B,0.0374
UTGC4X5S,0.0217
CRRKYD5O,0.0569
628XRFKT,0.1593
5LEDNSVU,0.0368
MEPCW36D,0.1188
65TQ6C8N,0.0421
D8NKFGQE,0.0291
DGXE2FCU,0.0202
5ZUVNC6G,0.0324
EPXJKYY8,0.1238
3ZHRXFMV,0.6312
9NCKUT9Q,0.6969
2OJDQTPF,0.1191
DFWC4P7X,0.0324
9U6URHYH,0.0197
JB7KRCZ7,0.0313
KGQHYTSW,0.0433
M4KN2SA9,0.0215
NQKMIMAC,0.2453
N87FHAYN,0.0392
GZ5NRLGX,0.2367
QGJVYG7R,0.0329
K8BDBLO4,0.0408
EUURQNJP,0.1303
KYWQQVLK,0.1698
5OUBYLQE,0.0212
AR3SG8WQ,0.623
HXTNNDYK,0.1201
GLEZDEWX,0.0263
KNXXVKF2,0.0419
D8VWPZM7,0.0287
HEKWV5LN,0.0336
922IPXFY,0.0322
EEGHXUKA,0.0141
VY65ZQ5U,0.1419
UTJKUOD2,0.1443
4DLGR2HE,0.0215
6UZRA9HX,0.0293
XXUQMCRU,0.0267
2HLHGPAV,0.1469
NRRFJCST,0.212
FZFYPJAU,0.7541
E9C6ZQCU,0.0145
MRHFHWRX,0.021
NVEUFQSB,0.0155
KRRY9BC4,0.1107
YGX7FMSA,0.0413
EP52B6AK,0.0163
MB9HYKFH,0.2885
DY9PVUB4,0.1252
JDNV2YMK,0.0259
EQCZNGN8,0.0172
5B6MYD4L,0.0199
JJLVCVF2,0.033
UUDKQQQV,0.0355
VRJSVPCC,0.0247
KPNJS2LB,0.1382
CMBTOX53,0.0392
O4LJKWZG,0.0224
YWCHXVPY,0.1435
JE7YVAPR,0.0311
RC82UVBF,0.033
3ZS4UHUN,0.021
FX935XAW,0.0174
P9WC7QAX,0.2227
6QKYZRGM,0.1298
EGQRYRMR,0.6952
6UB26JAS,0.6909
4DKGVVTZ,0.0377
9Y9LR4AE,0.037
AJ8FCGDW,0.13
ICYVG6DC,0.0341
CC2KRQ9M,0.6465
NLSDA7YX,0.0309
XXAF5JCE,0.0215
5USYNJFI,0.0208
MIJZCAMT,0.0365
GWQYRFGT,0.0204
C45GXFZD,0.1146
EA3YKFNR,0.0337
4EEPFRV7,0.035
GQQXN8PE,0.023
BERHCUHF,0.938
CLYTDGYS,0.0218
BGF732FE,0.6695
WUDW3UCD,0.0226
WDRTT2ND,0.0213
BFETSRM5,0.1462
K4YVYKAV,0.0152
QXYOUVBW,0.0406
9P29FRAJ,0.0286
4O3NNUCL,0.0377
7PRYXBUF,0.0163
MHBBLWTM,0.0196
SULIUZPQ,0.0237
JQWRFYQY,0.7834
EQZRTAMT,0.157
EFFVK8M6,0.0225
PRLSZKKN,0.0149
MPYWNJF4,0.0416
KA3ORGIQ,0.0851
SDRWSUSS,0.0343
ERF3EBFV,0.0227
WBSGHVOI,0.0383
2SSYUGAS,0.0323
FKIEQ8OY,0.037
9GFP8DFO,0.0146
2NWH6JCU,0.0334
9RMADPXR,0.0494
NMQOAFIK,0.0208
2CXGCPBP,0.2658
5INAUQ59,0.0223
CQ8YNXP4,0.5821
8CAEECWU,0.0242
ECVCVQ2B,0.1494
WHH5TZIF,0.0448
JEXKC594,0.0222
BHEPO3TQ,0.038
OP6K96HD,0.0206
9WFBS3WK,0.0289
DBHNDCQV,0.0328
55DNBMVV,0.7265
DUNS9AR3,0.1661
NKCYQTRB,0.0187
AK9KNDIN,0.0434
NNRA6SCA,0.0222
DARVBQBO,0.9451
EZCUGMAT,0.1512
ALJ7SMDS,0.0306
MI7GBNJQ,0.1142
HWFOMSGB,0.1047
62CKXEKK,0.038
5H7QKWTD,0.0325
62IO83QL,0.1285
YA6N6CSZ,0.0348
I98BNDJE,0.0206
JXW4WHAZ,0.7098
GR2HMRGA,0.0236
2ADS8SGT,0.0151
GXAQNSAN,0.02
EO4X93RA,0.0259
RVHHM7SP,0.1569
6YAAEWFB,0.7418
SIKNAGCF,0.0267
KI3EB9YN,0.0283
FPM75H2E,0.0275
BIM89ZNA,0.6329
BAYKWDUN,0.0378
APMHBQGI,0.7004
3RIQQG2B,0.0227
9QTDEKUR,0.0205
NF4NGXVU,0.0321
JAZUEFYE,0.1451
MTCK5ZPK,0.0351
FMZ7DS7E,0.0334
EQ6VZAR2,0.0225
HITF2KB8,0.0397
NRWWFD3K,0.2374
CNVC8MNQ,0.0217
TNPHSZIG,0.0144
FAC9QVBW,0.0218
85WCZ8RI,0.0359
VM3AV7CY,0.588
DPE2EYKE,0.9576
KN8N39UR,0.2445
JJCOXNPS,0.6905
MFPH57PQ,0.6715
M4K2IZZC,0.0199
WGGDI7NV,0.1146
QNQWSODK,0.0205
JHCPM9MI,0.0894
WXZEFHQF,0.021
JAWLH4NT,0.0143
MYCG3GJ2,0.0247
G3BW6HYY,0.1116
97WDZIIQ,0.0443
X6EEEN4Z,0.0324
WKWJS7QD,0.1138
EC9X7HYD,0.0194
XEMTPZ5F,0.0337
PDKI8TOH,0.0343
OKYUJKQS,0.0146
CZ2W7DQ8,0.7174
CJR3Y2GS,0.0737
DQAMXR3M,0.9391
AETVLCDJ,0.0139
Y6KNVFN9,0.0343
8PSVP4R8,0.0216
42DFHPYS,0.1301
ZRRNL7ND,0.0404
IMG9YCQV,0.0148
NJKCRYWF,0.3056
CLGTXHKU,0.9585
J7JVBLVW,0.0215
NNHCDCP5,0.7739
FBW7UITF,0.0278
8ER3Y5CD,0.0205
MHPEQRDM,0.0139
AQKTRMPK,0.1592
GUXAPGCH,0.5145
NEGTTV3S,0.5874
TJNYZKWN,0.0277
Y5VGRGBC,0.7382
GRXNCYXM,0.0258
7TLMYVDM,0.2315
BEB9IXDS,0.0337
3PZTXQBT,0.022
SKMZTVM4,0.0213
H2K7RV4G,0.0203
NBTJRW5C,0.0209
IQRKF3UN,0.0209
JIRNSUPJ,0.0209
6JYUKFLP,0.0323
AJCNCHKU,0.0223
FHFTPGOU,0.0209
FJFXZC7S,0.2112
J6SZFBQ8,0.0303
DKBNS5B6,0.0142
3CW8FNWU,0.1432
M6QFA3YE,0.0207
RGITNQXX,0.0138
URH7YE8M,0.0207
QKRHAD6T,0.035
6ZXBXYDY,0.0368
BOIRM5CW,0.0147
5Y2T6R7T,0.0218
VBWG8WJ9,0.0329
7UIGZRUC,0.6221
CGDWTAQ7,0.6075
GTOPF8PJ,0.098
NAQ7Q6XI,0.0362
JEY23PKK,0.8594
BWTJR6HV,0.0152
CKMVMJXC,0.2314
VMD4EAWT,0.0436
8BHON7OQ,0.0243
5EDXXBUR,0.5073
W6JPW58M,0.0323
HV2QA8F2,0.0385
N7KGJYHI,0.2483
RRRM6DPR,0.0144
UPATYYDR,0.021
ZHVKRFBA,0.0337
FYCKEVLL,0.7536
PJCXYPXG,0.0462
MLSTCFB4,0.6374
5EJYRMR7,0.0223
JANQ9ESL,0.032
IYKIB7ZT,0.0232
JHTSUVPK,0.1505
9CSPO3NS,0.7904
9QEMDMM9,0.181
XCZTP3YU,0.2548
ROZ2FS95,0.0215
6UANHWRA,0.0473
5QZKUC8S,0.1149
EUTYPJAZ,0.0213
JU9SLHSI,0.0221
GCYD9AJS,0.034
4IZKM2LJ,0.0517
4PCETV2J,0.3623
AWJT9X5W,0.0218
F5UWBATZ,0.016
M8EK9SKK,0.023
5HQWAHBD,0.0359
SF3RI3X2,0.0198
AG9VQRDQ,0.0351
A5Y58X8B,0.024
IQ6ZGDLB,0.0155
KWJE6MDC,0.6356
GZ7VVXAW,0.2188
UH7GBC4W,0.0213
DFW74DZG,0.0217
HKBH5MZE,0.0147
JEDQYSKR,0.0311
I3QEPLXH,0.1522
KJN6NQZF,0.1428
QCOKLOUE,0.0214
55VQY5PR,0.147
D9YKBUGD,0.0156
JN5JZJKS,0.0399
WWTDCEEK,0.0324
F39SSUK4,0.1372
NIF3JUKE,0.0334
IUXE3N9X,0.0211
5U3DPYPQ,0.0335
J5BKRE6Y,0.0345
9ESTADDT,0.692
3FKCCNHY,0.0363
Z5GUCEGP,0.0291
6NICEH6G,0.0202
42XTTCQT,0.0257
CSZH7BW4,0.7558
FMMPKKMG,0.0394
SBTXDYWH,0.6928
LWRJODHM,0.2229
2HZGBRWM,0.0214
MZPBYUCW,0.1447
EHW8YSWR,0.0202
NWKDFV4X,0.0203
NBAKMU6R,0.0321
SBWE7DMZ,0.0968
SPCMVYJB,0.0825
EPKYQDRP,0.0336
9KJU6ABX,0.0407
TQ7AUQDQ,0.115
8QFYQUKE,0.0223
HIP8XENC,0.0237
KOS2RQZY,0.0202
24DWMTBZ,0.0236
9ZQNOOWT,0.0328
UJMVAZB6,0.7337
AVSGQSZK,0.0202
TFPIM5RW,0.0141
2JVAIQ2U,0.0156
48XUMCWP,0.0273
FTA4MEDL,0.0433
2RAAJV3N,0.3437
JNFQE4IZ,0.0206
FZCQQKZ9,0.0341
AHWBUH4R,0.0275
AK3XXYJC,0.0162
DAHLUATV,0.5652
GZVQTWQI,0.0139
FFUFAA5A,0.0309
TYNDFXZX,0.0214
PHGQWH8S,0.0375
AXWWMXA6,0.7187
EYGJVSLA,0.0253
NUYDH7L8,0.6569
UCJUAWSZ,0.0216
NJUXGTYA,0.9021
8EJJNERB,0.0142
CSRC5X4J,0.9276
W2WHM7YT,0.0355
HZCWYE4V,0.0442
SRPNGVKZ,0.0213
7QTPNKOJ,0.0224
XNQG2RQU,0.0197
RJ249XTP,0.0239
BEHQUJVA,0.0337
WJYWJXWN,0.042
JGEVRPJ3,0.0224
MU2UB7JY,0.025
GEZMXSSN,0.1792
OHDHJYK9,0.1331
HNRAQE88,0.6765
MHAQTLRA,0.0252
PXFRKWMA,0.7184
2OZG8Y3G,0.1096
INORUAKR,0.1024
UHMEYJVJ,0.0332
NVRSCZSI,0.754
OBB6ZWF5,0.0185
IG3XJZLY,0.056
7GIM3DYW,0.7251
KRZMTFJT,0.0496
M2AOP9OP,0.2884
EXCRNVP2,0.0296
ZMPDDAQM,0.7595
KN5JYJUK,0.2266
S5MWEVUW,0.0838
HCPZRS96,0.0288
IFYWB7DV,0.0248
6YOZRSTZ,0.0365
EDLJNS5A,0.7354
JDJUQPLZ,0.2378
XOHTAYAD,0.225
NQBTN2AF,0.0225
ESKEDWRL,0.214
G5RDIZWX,0.556
54NGAYHM,0.0206
DNWKVVFX,0.1281
2DGK3FGA,0.0242
DFGJXQJR,0.0252
V3FCI9DD,0.663
7GPN84Z5,0.0301
L8SIDPCJ,0.0151
SAVTQLNV,0.0261
GBRBRUAC,0.1475
HWRTJEFA,0.0342
USTDQL3F,0.022
SNXAIY7W,0.2384
BQNCLRC4,0.7466
G5LAUPTS,0.0201
9KOUL5MH,0.7073
6JLCYQEP,0.0219
CDGS5KBC,0.0329
7IANAUG4,0.1182
BH4PBNFN,0.0214
KTHAUF4U,0.0388
YF8BMTF9,0.6253
JJXV28R6,0.0284
TEJNNZMU,0.9386
5ZYUWKTG,0.1406
PCQW5HMP,0.0199
